views,likes,dislikes,comments,engagement_rate,sentiment_score,like_to_view_ratio,comment_to_view_ratio,like_to_comment_ratio
748374,57527,2966,15954,0.09818753724741908,-0.250919762305275,0.07686921663604476,0.021318189410389175,3.6055781886555938
2418783,97185,6146,12703,0.045431111430831124,0.9014286128198323,0.040179280167224524,0.005251812480982179,7.649952770780857
3191434,146033,5339,8181,0.04832122487884757,0.4639878836228102,0.045757786074289465,0.0025634236636497376,17.84808115375214
343168,10172,666,2146,0.03589495524058187,0.1973169683940732,0.029641372035352845,0.00625347860675061,4.737773637633908
2095731,132235,1989,17518,0.07145621265324605,-0.687962719115127,0.06309728533991942,0.008358893217262513,7.548090644443176
119180,9763,511,1434,0.09395032723611345,-0.6880109593275947,0.08191741972294242,0.012032119213633046,6.803484320557491
2103417,15993,2445,1970,0.008539913863965158,-0.8838327756636011,0.00760333894641959,0.0009365708575280805,8.114155251141552
817732,23663,778,3432,0.03313432762812266,0.7323522915498704,0.028937318171090076,0.004196968937293713,6.892805126711331
826059,3543,119,340,0.004700632763519313,0.2022300234864176,0.004289034694816357,0.00041159237827760695,10.390029325513197
256426,12654,1363,2368,0.05858220305273256,0.416145155592091,0.04934737761624166,0.009234596980817153,5.341494301392993
81377,655,25,177,0.010224019071727883,-0.9588310114083951,0.008048858413821917,0.0021750350217503503,3.6797752808988764
104578,1576,303,1279,0.027300196982156858,0.9398197043239886,0.015069947121314986,0.01222998881228545,1.23125
687582,114188,1333,8371,0.17824637643219282,0.6648852816008435,0.1660715869938611,0.012174530202171956,13.639273769708552
544770,7848,1171,3981,0.021713750757200286,-0.5753217786434477,0.014406053185650485,0.007307657713057413,1.9708689100954295
207532,7473,246,2120,0.04622419675038066,-0.6363500655857988,0.03600873114155339,0.010215242877036424,3.5233380480905234
75752,9419,52,1230,0.14057714647798078,-0.6331909802931324,0.12433831003392605,0.016236980713635104,7.651502843216897
295639,8011,638,1256,0.0313456614316785,-0.39151551408092455,0.027097145176566095,0.004248410228656474,6.373110580747812
78044,5398,53,385,0.07409922607759725,0.04951286326447568,0.06916522519059518,0.004933051444679351,13.984455958549223
97007,11963,36,2211,0.14611316709103467,-0.13610996271576847,0.12331972620814778,0.02279193468579911,5.408227848101266
223871,8421,191,1214,0.04303817823657374,-0.4175417196039162,0.037615244425385934,0.005422741566609491,6.930864197530864
115791,9586,75,2800,0.10696858995949599,0.22370578944475894,0.08278637556998757,0.02418129059002349,3.4223491610139236
224019,3585,138,208,0.016931599551823728,-0.7210122786959163,0.016003035443263994,0.0009284885278100169,17.15311004784689
144418,11758,89,1014,0.08843772936891524,-0.4157107029295637,0.08141588018197052,0.007021236817870225,11.58423645320197
145921,1707,578,673,0.016310195242631286,-0.2672763134126166,0.011698030454626444,0.004612053014624251,2.5326409495548963
33980,4884,52,234,0.15061801059446733,-0.08786003156592814,0.1437273770636532,0.0068862011123863335,20.782978723404256
223077,8676,193,1392,0.04513239823020751,0.5703519227860272,0.038892226037529475,0.006239969876007495,6.228284278535535
80705,4687,41,437,0.06349049005637816,-0.6006524356832805,0.05807498822888013,0.005414715138899215,10.700913242009133
120727,9033,224,1346,0.08597082674132547,0.02846887682722321,0.0748210854151481,0.011149029222715526,6.706013363028953
27943,156,36,83,0.00855312600651326,0.18482913772408494,0.005582593758946464,0.002970226166618952,1.8571428571428572
